product_id,slug,title,noornegar_url,noornegar_price,new_site_price,daily_markup
46305,sony-camera-cage-fx3-fx30,کیج دوربین سونی Sony Camera Cage FX3/FX30,https://noornegar.com/product/sony-camera-cage-fx3-fx30/,15000000.0,15500000.0,500000
45712,sony-alpha-a7r-iv-body, Sony Alpha a7R IV body,https://noornegar.com/product/sony-alpha-a7r-iv-body/,420000000.0,420500000.0,500000
46296,jmary-tripod-kp-2206,سه پایه دوربین جیماری Jmary Tripod KP-2206,https://noornegar.com/product/jmary-tripod-kp-2206/,1000000.0,1500000.0,500000
45793,sony-e-15mm-f-1-4-g,Sony E 15mm f/1.4 G,https://noornegar.com/product/sony-e-15mm-f-1-4-g/,260000000.0,260500000.0,500000
45733,sony-fe-85mm-f-1-8,Sony FE 85mm f/1.8,https://noornegar.com/product/sony-fe-85mm-f-1-8/,109800000.0,110300000.0,500000
45713,sony-a7c-mirrorless-camera-black-body, Sony a7C Mirrorless Camera Black body,https://noornegar.com/product/sony-a7c-mirrorless-camera-black-body/,260000000.0,260500000.0,500000
45739,sony-fe-16-35mm-f-2-8-gm,لنزسونی Sony FE 16-35mm f/2.8 GM,https://noornegar.com/product/sony-fe-16-35mm-f-2-8-gm/,330000000.0,330500000.0,500000
45751,sony-zv-e1-mirrorless-camera-black, Sony ZV-E1 Mirrorless Camera Black,https://noornegar.com/product/sony-zv-e1-mirrorless-camera-black/,415800000.0,416300000.0,500000
45771,sony-e-35mm-f-1-8-oss,Sony E 35mm f/1.8 OSS,https://noornegar.com/product/sony-e-35mm-f-1-8-oss/,125000000.0,125500000.0,500000
45724,sony-a1-ii-mirrorless-camera-body, Sony a1 II Mirrorless Camera Body,https://noornegar.com/product/sony-a1-ii-mirrorless-camera-body/,1500000000.0,1500500000.0,500000
45728,sony-fe-50mm-f-1-8-lens, Sony FE 50mm f/1.8 ,https://noornegar.com/product/sony-fe-50mm-f-1-8-lens/,48000000.0,48500000.0,500000
46308,sony-1-4x-teleconverter-lens,تله کانورتر لنز سونی Sony 1.4x Teleconverter Lens,https://noornegar.com/product/sony-1-4x-teleconverter-lens/,170000000.0,170500000.0,500000
45772,sony-fe-28mm-f-2-lens,Sony FE 28mm f/2 Lens,https://noornegar.com/product/sony-fe-28mm-f-2-lens/,1000000.0,1500000.0,500000
45734,sony-vario-tessar-t-fe-24-70mm-f-4-za-oss,Sony Vario-Tessar T* FE 24-70mm f/4 ZA OSS,https://noornegar.com/product/sony-vario-tessar-t-fe-24-70mm-f-4-za-oss/,1000000.0,1500000.0,500000
45741,sony-fe-85mm-f-1-4-gm, Sony FE 85mm f/1.4 GM,https://noornegar.com/product/sony-fe-85mm-f-1-4-gm/,245000000.0,245500000.0,500000
45773,sony-fe-24mm-f1-4-gm, Sony FE 24mm F1.4 GM,https://noornegar.com/product/sony-fe-24mm-f1-4-gm/,240000000.0,240500000.0,500000
